Gene_ID,Gene_name,Gene_Full_name,Subject 1- Haired,Subject 2- Haired,Subject 3- Haired,Subject 4- Haired,Subject 5- Haired,Subject 1- Bald,Subject 2- Bald,Subject 3- Bald,Subject 4- Bald,Subject 5- Bald,Haired_avg,Bald_avg,Fold change,pvalue
216922_x_at,DAZ1,deleted in azoospermia 1(DAZ1),7.0149143852,8.016423722,8.0667760297,7.5751409097,7.6439299096,6.262527495,4.918128301,5.851244647,4.7738758846,4.4541807636,7.6634369912,5.2519914182,2.411445573,0.0002733848
208092_s_at,FAM49A,family with sequence similarity 49 member A(FAM49A),4.1460167339,4.5849528827,5.1379107817,4.9366642724,5.5703715453,2.6230697891,2.0080961868,2.9080071941,2.6691603674,2.3811836819,4.8751832432,2.5179034439,2.3572797993,3.52705083041724E-05
213780_at,TCHH,trichohyalin(TCHH),12.5465747364,12.1055231711,12.5950779494,12.2950726689,12.5554296911,10.2672761776,9.8159813859,10.1990816513,9.393962059,10.6726434094,12.4195356434,10.0697889366,2.3497467067,8.94328910956579E-06
213909_at,LRRC15,leucine rich repeat containing 15(LRRC15),8.9413133724,8.6431263622,9.4768259802,9.0230875938,9.0827903923,6.459611223,6.5128392065,7.0836710002,6.7969490931,7.398079258,9.0334287402,6.8502299562,2.183198784,9.54893000733655E-06
211485_s_at,FGF18,fibroblast growth factor 18(FGF18),3.8646803162,5.7663319863,5.8428195987,6.1328118578,3.7019912234,2.9654300538,2.8762884547,2.9735250051,2.93344753,2.9580623884,5.0617269965,2.9413506864,2.1203763101,0.0037979518
204687_at,PARM1,prostate androgen-regulated mucin-like protein 1(PARM1),8.0270624644,8.1958634153,7.9892325229,8.107020029,7.5356579706,6.1315894843,5.646231391,6.3407664465,6.0478332491,5.3225057065,7.9709672804,5.8977852555,2.0731820249,1.13642432567186E-05
219932_at,SLC27A6,solute carrier family 27 member 6(SLC27A6),5.8005283743,5.9196380307,6.7604398628,6.6634347138,6.3312172142,4.1879771221,4.0764339912,4.7408029242,3.7161330313,4.7870263359,6.2950516392,4.3016746809,1.9933769582,0.0001014303
222351_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta(PPP2R1B),6.635416746,6.3199833844,6.7445810579,6.381305525,7.0379764864,4.7413311779,4.4937955792,4.3762721828,4.4355127205,5.1985388639,6.62385264,4.6490901049,1.9747625351,8.98576204423415E-06
218935_at,EHD3,EH domain containing 3(EHD3),5.0950249441,6.1697179999,6.2394660196,6.6524657005,6.6572234698,3.7694923751,3.6978953361,4.3765367625,4.5093579913,4.695042835,6.1627796268,4.20966506,1.9531145668,0.0005146365
203304_at,BAMBI,BMP and activin membrane bound inhibitor(BAMBI),6.513135713,7.0120732766,7.9081186478,7.1479332639,7.2094872881,5.5238846446,4.7392495193,5.3312936501,5.4121433472,5.2698724789,7.1581496379,5.255288728,1.9028609099,8.66797812710492E-05
209800_at,KRT16,keratin 16(KRT16),11.1250940273,11.7369285119,11.5738435094,12.1586519713,11.4487860685,8.9887915502,9.1671747489,10.0428676894,10.3698644873,9.9702118953,11.6086608177,9.7077820742,1.9008787435,0.0003238509
209343_at,EFHD1,EF-hand domain family member D1(EFHD1),6.8885036321,6.6656156166,7.6621683207,7.0478228908,7.4305579273,5.1338142002,5.0188348806,5.4713514942,5.4710866373,5.1128007426,7.1389336775,5.241577591,1.8973560865,1.48577204809912E-05
220272_at,BNC2,basonuclin 2(BNC2),6.8235134767,6.948437554,7.1027678199,6.6280820409,6.9417301933,5.2344202702,4.8340415844,4.8221468346,5.1481535043,5.0988903681,6.8889062169,5.0275305123,1.8613757046,2.19512723915196E-07
212915_at,PDZRN3,PDZ domain containing ring finger 3(PDZRN3),9.3687514151,9.9890777676,10.5287538515,10.6088764055,10.422331619,8.3394558796,7.7347904224,8.7046803438,8.2281438323,8.8486360216,10.1835582118,8.3711412999,1.8124169118,0.0003231124
221558_s_at,LEF1,lymphoid enhancer binding factor 1(LEF1),6.782114439,6.3890040785,7.3458764132,7.0575028018,7.5639400648,5.2593326797,4.2551143262,5.2482314725,6.1352898305,5.2196845063,7.0276875595,5.223530563,1.8041569964,0.0010846549
203921_at,CHST2,carbohydrate sulfotransferase 2(CHST2),7.8985371789,7.8448138958,8.4842701144,8.4858565526,8.5090493184,6.4179481852,5.9589553263,6.4772202614,6.7515848155,6.6227286288,8.244505412,6.4456874435,1.7988179686,2.11978364071418E-05
205290_s_at,BMP2,bone morphogenetic protein 2(BMP2),5.3282217018,5.6214848241,6.129442529,6.2684746301,3.7362872959,3.0660373386,3.783402382,4.5575959754,4.3001482575,2.3836948104,5.4167821962,3.6181757528,1.7986064434,0.0177384694
202376_at,SERPINA3,serpin family A member 3(SERPINA3),10.1140685584,9.1625153499,9.3150949789,9.9237587437,9.6967402578,7.5009662108,7.9268854073,7.6934244394,7.598764476,8.5173107364,9.6424355777,7.847470254,1.7949653238,0.0001089654
210393_at,LGR5,leucine rich repeat containing G protein-coupled receptor 5(LGR5),5.5652506254,5.9519508473,5.394301481,6.2158086507,5.6981374494,4.4339931019,3.8199771242,3.7010333205,3.8426757837,4.3268444921,5.7650898108,4.0249047645,1.7401850463,3.07151999595785E-05
211429_s_at,serpina1,serpin family A member 1(SERPINA1),7.8578969184,7.9485592666,7.634282437,8.7927973532,8.1286595865,7.1755208087,5.4950066806,5.5597319365,6.4322859924,7.0304100212,8.0724391123,6.3385910879,1.7338480244,0.0026859322
37892_at,COL11A1,collagen type XI alpha 1 chain(COL11A1),5.5983613937,6.6543155213,7.5222129545,6.7384199541,7.0679049817,3.9269060383,4.2796191235,5.2249594987,5.5834948642,5.9351845723,6.7162429611,4.9900328194,1.7262101417,0.008501115
206140_at,LHX2,LIM homeobox 2(LHX2),8.9119400479,9.4873651523,9.4414395733,9.0053775297,9.18577573,7.9046157167,7.2276919867,7.7609743715,7.4460865543,7.2154014646,9.2063796066,7.5109540188,1.6954255878,1.34746912098883E-05
216604_s_at,SLC7A8,solute carrier family 7 member 8(SLC7A8),8.078671045,6.7025546286,7.2281225665,6.5999986577,8.2024063586,6.0767104368,5.902952921,5.8252759649,5.6368160006,4.9983173777,7.3623506513,5.6880145402,1.6743361111,0.002408591
201109_s_at,THBS1,thrombospondin 1(THBS1),6.7922242955,6.5276399549,6.4599744944,7.4719905409,6.1287153078,4.8869389593,4.6622666932,4.9594285873,5.3065805105,5.1938148265,6.6761089187,5.0018059154,1.6743030033,0.0001641211
204720_s_at,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6(DNAJC6),4.2110725642,4.2449050166,5.8101104899,4.8574009151,5.5078933425,3.3086834154,3.192382461,3.144540457,3.1781093949,3.4469887741,4.9262764657,3.2541409005,1.6721355652,0.000945966
209757_s_at,MYCN,v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog(MYCN),5.699526092,5.7988442454,6.4855482918,5.5509117433,5.722983717,3.4955574094,4.572398523,4.410106064,4.8187437247,3.8891967561,5.8515628179,4.2372004954,1.6143623225,0.0005349242
202886_s_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta(PPP2R1B),5.8991205131,6.1861388085,6.8431732306,6.6608577567,6.2239366308,4.1383844463,5.1111826288,5.0326457192,5.0374035284,4.6425423353,6.3626453879,4.7924317316,1.5702136563,0.0002406538
205374_at,SLN,sarcolipin(SLN),4.9954094425,5.059540362,5.4520887619,5.4581349714,5.0376009819,3.7346025453,3.5452834205,3.5066588081,3.3359082384,4.0895189979,5.2005549039,3.642394402,1.5581605019,1.333863968686E-05
219250_s_at,FLRT3,fibronectin leucine rich transmembrane protein 3(FLRT3),6.7285893833,8.2912835314,8.6610339027,8.5317153083,7.9844733742,5.5178376678,6.9744399443,6.7335129741,6.8892301524,6.453002239,8.0394191,6.5136045955,1.5258145045,0.0081311822
219832_s_at,HOXC13,homeobox C13(HOXC13),7.1602912714,7.1534181677,7.5583568047,7.8537342223,7.4851404334,6.2252580569,5.2392780411,6.0646834069,5.7729402825,6.3307880155,7.4421881799,5.9265895606,1.5155986193,0.0002051006
202883_s_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta(PPP2R1B),7.0716444846,7.0049703043,7.8185129648,7.7099120299,7.8645396545,6.1082623434,5.8533924027,5.9677443254,5.9167631247,6.1463916977,7.4939158876,5.9985107788,1.4954051088,6.16235353935542E-05
209921_at,SLC7A11,solute carrier family 7 member 11(SLC7A11),5.5822995948,4.7942949868,5.7532483109,5.5653166516,5.2933308993,3.9828319838,3.6865949856,4.2382310704,3.5707567834,4.0495061818,5.3976980887,3.905584201,1.4921138877,9.32196933418863E-05
211071_s_at,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11(MLLT11)",7.342208928,7.642212168,8.2587389114,8.1141558529,8.1153453227,6.2145854847,6.4166919864,6.2885291061,6.1699491463,6.978636335,7.8945322366,6.4136784117,1.4808538249,0.0001845175
216603_at,SLC7A8,solute carrier family 7 member 8(SLC7A8),6.9254427583,5.5394470111,6.039705181,6.0752239076,6.9016534961,5.2211057753,4.6183238285,4.8001431341,4.7305280137,4.8156391089,6.2962944708,4.8371479721,1.4591464987,0.0009682052
211219_s_at,LHX2,LIM homeobox 2(LHX2),4.7478076858,5.4522868787,5.7826875359,5.6552848448,5.1536049253,3.3348508377,4.1722172249,4.4591699425,4.0709167598,3.4633105279,5.3583343741,3.9000930586,1.4582413155,0.0008991866
216248_s_at,NR4A2,nuclear receptor subfamily 4 group A member 2(NR4A2),7.7164873032,5.9886264552,8.6530394459,7.3892579002,5.9310700651,6.4084326685,5.3034750105,5.1586278638,6.1654563531,5.4475628984,7.1356962339,5.6967109589,1.4389852751,0.0377823822
201110_s_at,THBS1,thrombospondin 1(THBS1),7.0640126922,6.7812882328,7.1454230253,8.1422076594,7.5435223305,6.5030918833,5.0273265912,5.4597544183,5.9114110918,6.6015512295,7.3352907881,5.9006270428,1.4346637452,0.0055991435
202016_at,MEST,mesoderm specific transcript(MEST),6.7778844594,7.5500962333,7.7316520684,7.6661335141,8.2342892961,5.9233369944,5.9504305032,5.9133593029,6.1772177957,6.9785372681,7.5920111143,6.1885763729,1.4034347414,0.0019526682
204750_s_at,DSC2,desmocollin 2(DSC2),7.0339451406,7.5411104806,7.644227708,6.8412229036,7.5452731017,6.3234532991,5.8525668364,6.3612509384,5.6285553375,5.4463726997,7.3211558669,5.9224398222,1.3987160447,0.0004333204
215034_s_at,TM4SF1,transmembrane 4 L six family member 1(TM4SF1),9.3748636465,9.4057573497,10.130225227,10.2991259198,9.5025313024,8.2329676805,8.1923618649,8.3460965101,8.3633774245,8.6315629841,9.7425006891,8.3532732928,1.3892273962,0.0001681748
202884_s_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta(PPP2R1B),7.2906671305,6.9586801889,7.6114196211,7.3963292301,7.5610665685,6.1966455973,6.0124151443,5.8038654634,5.6714416261,6.2660963177,7.3636325478,5.9900928298,1.373539718,2.89608542465858E-05
207716_at,KRT38,keratin 38(KRT38),2.9860143899,4.7154282076,4.0055303275,4.6143588438,3.9607941423,2.8879515826,2.8019151999,2.769668293,2.1447495936,2.889933827,4.0564251822,2.6988436992,1.357581483,0.0039222723
206315_at,CRLF1,cytokine receptor like factor 1(CRLF1),5.2701039201,5.9241309156,5.7260234249,6.1657197543,5.8065085074,4.3986404126,4.3463050126,4.7101744568,4.2214465278,4.4379910386,5.7784973045,4.4229114897,1.3555858148,4.06486962206992E-05
209286_at,CDC42EP3,CDC42 effector protein 3(CDC42EP3),7.2147409867,6.5164728526,6.8455512701,7.197295732,6.6827304515,5.7567511149,4.8031493706,5.5898654246,5.820716362,5.7331599705,6.8913582586,5.5407284485,1.3506298101,0.0004155231
203980_at,FABP4,fatty acid binding protein 4(FABP4),10.0396956687,10.378884712,11.3251504948,10.2041358248,11.1174937598,9.1643335048,8.8890436878,9.4660881702,9.1153019852,9.7045372514,10.613072092,9.2678609199,1.3452111721,0.0017846471
210319_x_at,MSX2,msh homeobox 2(MSX2),5.753479386,5.6339073897,6.8253303258,6.3451271934,6.6763204475,4.948392791,4.6695353053,5.0286145009,4.6338524484,5.2551369922,6.2468329485,4.9071064075,1.339726541,0.0010091166
201108_s_at,THBS1,thrombospondin 1(THBS1),5.1702900373,5.3729577726,5.8100438138,6.3976925997,4.9453865722,4.5616266208,4.3965255977,4.3318662712,4.7891732946,2.966950102,5.5392741591,4.2092283773,1.3300457818,0.01196563
204351_at,S100P,S100 calcium binding protein P(S100P),8.6440510126,9.1339029018,9.2054339846,9.3202159077,8.6041386147,7.09853778,7.6497456406,8.5090170836,7.8764992658,7.1788592221,8.9815484843,7.6625317984,1.3190166859,0.002145533
212154_at,SDC2,syndecan 2(SDC2),7.5677732084,8.4396331101,8.472375747,8.483576665,8.217372264,6.8063660795,6.8408589766,7.0383060154,6.978107976,6.9318515665,8.2361461989,6.9190981228,1.3170480761,7.9943626370836E-05
212158_at,SDC2,syndecan 2(SDC2),7.5552184353,8.5160223195,8.7506383247,8.5054818197,8.8324125803,7.2105116036,6.5184878352,7.1658071489,7.3788166031,7.3121423632,8.4319546959,7.1171531108,1.3148015851,0.0014071718
202391_at,BASP1,brain abundant membrane attached signal protein 1(BASP1),9.344170277,9.4076064073,9.4530697541,9.3811087796,9.6454949537,7.8502650505,7.98834033,8.1387385076,8.3933442476,8.3029137293,9.4462900343,8.134720373,1.3115696613,2.68330321234703E-06
205206_at,ANOS1,anosmin 1(ANOS1),6.1465898546,6.931983666,7.1977903145,7.0862480262,6.8023678552,5.5707020853,5.0364454841,5.4256236531,5.9917641078,5.7268492778,6.8329959433,5.5502769216,1.2827190217,0.0007558956
209617_s_at,CTNND2,catenin delta 2(CTNND2),4.1558950813,4.8261777878,5.294685439,5.5398428587,5.8136781599,3.7385006703,3.9445383943,3.593124858,3.9387232395,4.0275348501,5.1260558653,3.8484844024,1.2775714629,0.0029034696
211538_s_at,HSPA2,heat shock protein family A (Hsp70) member 2(HSPA2),9.1505226136,9.8410928593,10.1667345228,9.9764239282,10.2228696313,8.6449115679,8.4523550039,8.4636549456,8.4644474028,9.0195517,9.871528711,8.608984124,1.262544587,0.0004506317
218368_s_at,TNFRSF12A,TNF receptor superfamily member 12A(TNFRSF12A),6.2814261893,6.0929656561,6.004219792,5.885540078,5.4390379628,4.8427307876,5.0550465519,5.4842364348,5.1570737929,2.8627090597,5.9406379356,4.6803593254,1.2602786103,0.0322036373
214036_at,EFNA5,ephrin A5(EFNA5),6.5770347901,7.1786273081,7.1316452469,7.225743051,6.4049297502,6.0218967517,5.4417470554,5.6707144797,5.7819927866,5.3119985572,6.9035960293,5.6456699261,1.2579261031,0.0003503093
209288_s_at,CDC42EP3,CDC42 effector protein 3(CDC42EP3),6.8145931038,7.1690136116,8.0481751419,7.8432605571,7.5092261613,5.7893281775,5.7821584831,6.1434177056,6.7960575248,6.6256040886,7.4768537151,6.2273131959,1.2495405192,0.0035251049
210082_at,ABCA4,ATP binding cassette subfamily A member 4(ABCA4),5.2915140498,5.4487185219,5.2495530462,6.2539694933,5.3916587852,3.761166959,4.590867074,4.3439261755,4.1008506917,4.6173323985,5.5270827793,4.2828286597,1.2442541196,0.0009563499
213100_at,UNC5B,unc-5 netrin receptor B(UNC5B),6.1775494195,6.7922581393,6.7441187023,6.7895489684,6.2394652558,5.0558392734,5.8055509411,5.5850746058,5.5061098573,4.5756362955,6.5485880971,5.3056421946,1.2429459025,0.001390884
205555_s_at,MSX2,msh homeobox 2(MSX2),3.5448528137,4.2012926705,4.9918074317,4.7891403698,4.088889555,3.2369860352,2.8001965732,2.8603292432,3.0443629918,3.4706450144,4.3231965681,3.0825039715,1.2406925966,0.0025241333
215785_s_at,cyfip2,cytoplasmic FMR1 interacting protein 2(CYFIP2),6.8806406423,7.3951397663,6.9945619054,7.0764367063,7.3382122381,5.7602200415,5.9934495175,5.8782060593,5.8618181825,6.0223922277,7.1369982517,5.9032172057,1.233781046,3.57724681769214E-06
200906_s_at,PALLD,"palladin, cytoskeletal associated protein(PALLD)",8.5928737141,8.4273094915,8.2978919094,8.6946365434,7.6461780693,7.0877022451,7.1884413792,7.3562840752,7.6611447403,6.2705562263,8.3317779455,7.1128257332,1.2189522123,0.0033722663
201147_s_at,TIMP3,TIMP metallopeptidase inhibitor 3(TIMP3),8.8361466999,9.1153350217,9.5237099423,9.1965136074,9.0784289101,8.4498103583,7.8489112629,8.2742683715,7.7750659537,7.3095983127,9.1500268363,7.9315308518,1.2184959845,0.0007146208
209372_x_at,TUBB2B,tubulin beta 2B class IIb(TUBB2B),6.6298665154,7.6273115719,7.7170148934,8.1945432902,7.0422059034,5.9906406544,6.2161065663,7.1391127474,6.6716287403,5.2161832187,7.4421884349,6.2467343854,1.1954540495,0.0225885578
205932_s_at,MSX1,msh homeobox 1(MSX1),6.1737155077,5.9545938344,6.0351793768,5.5618473923,5.5346885354,4.8954304028,4.7406043475,4.3962611648,4.7372345235,4.5277941295,5.8520049293,4.6594649136,1.1925400157,6.07741873825965E-05
214433_s_at,SELENBP1,selenium binding protein 1(SELENBP1),7.1781651613,7.428376505,8.9207607425,7.7773788145,7.8542956162,6.6410660046,6.4672424669,7.4727824541,6.5157119789,6.12792212,7.8317953679,6.6449450049,1.186850363,0.0129339062
201149_s_at,TIMP3,TIMP metallopeptidase inhibitor 3(TIMP3),8.1399595466,8.3755345124,8.6245570763,8.1989027022,7.9192190979,7.4048189273,7.3173637693,7.7490965659,7.1675255285,5.7906159286,8.2516345871,7.0858841439,1.1657504432,0.0115522398
205289_at,BMP2,bone morphogenetic protein 2(BMP2),5.8947920613,5.8157604928,6.1702141126,6.538411674,6.7306387333,5.0109050399,4.6686768242,5.0870958408,5.3828031474,5.2059734468,6.2299634148,5.0710908598,1.158872555,0.0006310977
201148_s_at,TIMP3,TIMP metallopeptidase inhibitor 3(TIMP3),6.6849436778,7.6534453676,7.7273235862,7.4380900415,6.9300010205,6.5777282128,6.3711633915,6.5351069098,6.2873732948,4.9606837427,7.2867607387,6.1464111103,1.1403496284,0.0140109834
216092_s_at,SLC7A8,solute carrier family 7 member 8(SLC7A8),8.0914245958,7.3313721065,7.8960915007,7.7387556117,7.7221696678,6.9956522959,6.2523844343,6.6849112869,6.3847093366,6.7739873082,7.7559626965,6.6183289324,1.1376337641,0.0002594913
210335_at,RASSF9,Ras association domain family member 9(RASSF9),3.3976930446,3.1590444659,4.9155510163,4.7279829518,3.7289522385,2.8576538145,2.7495468389,2.8660458611,2.8581160052,2.9139540234,3.9858447434,2.8490633086,1.1367814348,0.012627101
210074_at,CTSV,cathepsin V(CTSV),10.9857639668,11.9744365671,11.9986393297,12.2220722879,11.8186367768,9.7910692569,11.0595920098,10.784137668,10.6868175701,11.0069418804,11.7999097856,10.665711677,1.1341981086,0.0067743446
209386_at,TM4SF1,transmembrane 4 L six family member 1(TM4SF1),10.4426847825,10.4537851584,11.1903139176,11.1945432656,10.8173578437,10.04970577,9.2537714609,9.694393706,9.8470387053,9.5968603603,10.8197369936,9.6883540005,1.1313829931,0.0007170724
213556_at,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing(PINLYP),5.1944095416,5.8247469813,5.6039402175,6.0936273573,5.6744151711,4.6105927654,4.837577881,4.3107871123,4.7122898769,4.3836072572,5.6782278538,4.5709709785,1.1072568752,0.0002474871
205931_s_at,LOC401317,uncharacterized LOC401317(LOC401317),4.2123603897,4.292119356,4.989131376,5.038129954,4.9526222629,4.2290784292,3.441867076,3.0273140275,3.9946596404,3.2980112302,4.6968726677,3.5981860807,1.098686587,0.0051489529
204320_at,COL11A1,collagen type XI alpha 1 chain(COL11A1),5.3327148786,5.3324503377,6.4780141653,5.6476853543,6.1000361418,3.8320699254,4.1975919515,5.0185371486,5.096809086,5.267692119,5.7781801755,4.6825400461,1.0956401294,0.0159921248
203797_at,VSNL1,visinin like 1(VSNL1),8.5416937094,8.8560862764,8.8523852171,8.9326234331,8.9556849212,7.3129843033,7.952639396,7.7454127498,7.7720431997,7.8879471121,8.8276947114,7.7342053522,1.0934893592,3.85406693791942E-05
204268_at,S100A2,S100 calcium binding protein A2(S100A2),13.0735625288,12.7555844694,12.3125846314,12.5985450266,12.6475766974,10.9856965931,11.8629752511,11.3015585542,11.7003870033,12.116722619,12.6775706707,11.5934680041,1.0841026666,0.0017786552
221962_s_at,UBE2H,ubiquitin conjugating enzyme E2 H(UBE2H),6.2141561891,6.844427962,7.0893201758,6.6917830139,6.5195782294,4.713214158,6.2594866906,6.081401521,5.8526321751,5.0765884242,6.671853114,5.5966645938,1.0751885203,0.0122127899
205724_at,pkp1,plakophilin 1(PKP1),6.5517919182,6.6775415045,6.8118172769,7.1052458164,5.9855521168,5.7970921163,5.9959260788,6.3696099957,5.3926814856,4.2045626152,6.6263897266,5.5519744583,1.0744152682,0.0322526283
219229_at,SLCO3A1,solute carrier organic anion transporter family member 3A1(SLCO3A1),7.0818534449,7.2756992595,7.3074175956,7.4986864829,7.319477852,6.0327345286,6.1926804404,6.5151513522,6.3332989595,6.0411925957,7.296626927,6.2230115753,1.0736153517,1.24845343981865E-05
202166_s_at,PPP1R2,protein phosphatase 1 regulatory inhibitor subunit 2(PPP1R2),7.9828554001,7.7423231808,8.4418468382,8.6792723013,8.5829290474,7.0420731211,6.8475002685,7.2923189637,7.5428948931,7.3803382847,8.2858453535,7.2210251062,1.0648202473,0.0012562938
217395_at,MT4,metallothionein 4(MT4),7.870783287,6.3653474976,6.2791794956,6.5884669204,6.6489635125,5.55973264,5.6260770741,5.5845463434,5.5995459345,6.0748928603,6.7505481426,5.6889589705,1.0615891722,0.0081991786
202435_s_at,CYP1B1,cytochrome P450 family 1 subfamily B member 1(CYP1B1),7.3099615817,8.2044219765,8.328916194,8.2510733326,7.2267012809,6.5886319537,6.8629973201,7.8444836397,6.854010114,5.8680955619,7.8642148731,6.8036437179,1.0605711553,0.0293009892
219768_at,VTCN1,V-set domain containing T cell activation inhibitor 1(VTCN1),5.8788664902,6.7901756563,6.9448699217,6.7805288755,6.4098194378,6.3797198944,5.1148489395,5.1653998722,5.2323057948,5.6131580538,6.5608520763,5.5010865109,1.0597655653,0.0083210317
201287_s_at,sdc1,syndecan 1(SDC1),11.2386513379,11.1276373419,11.1773293356,11.282562762,10.8707523147,10.0292213723,10.5384019734,10.5501642999,10.1928035861,9.095577678,11.1393866184,10.0812337819,1.0581528365,0.0049559909
204256_at,ELOVL6,ELOVL fatty acid elongase 6(ELOVL6),5.3969442754,6.3884089562,6.5613741033,6.6955156881,7.2093882479,4.8801652091,5.1913032549,5.5973652935,5.3209849855,6.0235478987,6.4503262542,5.4026733284,1.0476529258,0.018218365
210868_s_at,ELOVL6,ELOVL fatty acid elongase 6(ELOVL6),4.8590857262,5.3622525914,6.1617550934,5.7153178247,5.7618384132,4.5240277459,4.3587276386,4.2774823938,4.7735456234,4.7529290775,5.5720499298,4.5373424959,1.0347074339,0.0026187447
202693_s_at,STK17A,serine/threonine kinase 17a(STK17A),6.9332053676,6.8383479973,7.6450525534,7.5212857212,7.8360908889,6.1955208373,5.9229407497,6.4059864051,6.3443340833,6.7534353937,7.3547965057,6.3244434938,1.0303530118,0.0026733539
205472_s_at,DACH1,dachshund family transcription factor 1(DACH1),4.0944081187,4.5766598706,5.0111363069,4.6603837737,4.7871914554,3.5650407049,3.3744659939,4.0602111912,3.4398188521,3.5875079331,4.625955905,3.605408935,1.02054697,0.0007554415
203798_s_at,VSNL1,visinin like 1(VSNL1),7.4278825176,7.9095729559,8.0008297618,8.2886075883,7.6649778285,6.5778947357,7.0441877555,6.8863229708,6.7487449942,6.9387569671,7.8583741304,6.8391814847,1.0191926458,0.0002947929
209387_s_at,TM4SF1,transmembrane 4 L six family member 1(TM4SF1),8.9504985963,8.7032274934,9.7251882662,9.7578649954,9.2426717144,8.8123579922,7.8525117819,8.1558205603,8.2522642602,8.2528254918,9.2758902132,8.2651560172,1.0107341959,0.0046172107
202935_s_at,SOX9,SRY-box 9(SOX9),9.3861966186,9.9640349667,10.3615062946,9.8805415118,10.1432101057,9.1350923219,9.0477025104,9.2946771232,8.8822387324,8.3345668009,9.9470978995,8.9388554978,1.0082424017,0.0024480661
202363_at,SPOCK1,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1(SPOCK1)",4.68344528,5.1415122073,5.346624925,5.4221872428,6.1381969573,4.1074920378,3.8925995944,4.286965475,4.1533183849,5.2652144584,5.3463933225,4.3411179901,1.0052753324,0.017356726
205471_s_at,DACH1,dachshund family transcription factor 1(DACH1),5.725725808,6.8033598931,7.0668868664,6.6508456797,6.9172812003,5.2359405767,5.8825014627,6.0583063205,5.6133902053,5.3575938774,6.6328198895,5.6295464885,1.003273401,0.0075232464
200730_s_at,PTP4A1,"protein tyrosine phosphatase type IVA, member 1(PTP4A1)",7.1402684289,7.1917442395,8.4460095278,7.9570166965,7.0781524092,6.1773498883,6.1932095347,7.0197374922,6.7813536148,6.6341936261,7.5626382604,6.5611688312,1.0014694292,0.01378801
